title,url
Почему CJM – это дорого и долго?,	https://hardclient.com/why-cjm-is-expensive-and-time-consuming
Customer Journey Map в Miro,	https://hardclient.com/customer-journey-map-in-miro
Работа с поисковой строкой в интернет-магазинах: 179 гайдлайнов,	https://hardclient.com/ecommerce-search-bar
Авторизация по номеру телефона в интернет-магазине: 130 гайдлайнов,	https://hardclient.com/ecommerce-authorization-by-phone
Практики Retention,	https://hardclient.com/retention
Проектируем строку поиска в приложении: 188 гайдлайнов,	https://hardclient.com/ecommerce-mobile-search-bar
Как спроектировать хороший таббар?,	https://hardclient.com/app-tabbar
Когнитивные искажения в e-Commerce. Часть 2,	https://hardclient.com/ecommerce-cognitive-biases-part-2
Анимация в интерфейсах: 12 принципов UX-анимации (UX in Motion),	https://ux-journal.ru/animatsiya-v-interfejsah-12-printsipov-ux-animatsii.html
Как конвертировать интерфейс iOS в Android,	https://ux.pub/kak-konvertirovat-interfejs-ios-v-android/
«Закон Фиттса»,	https://bureau.ru/bb/soviet/20160517/
Защита решений,	https://vsevolodustinov.ru/blog/all/zaschita-resheniy/
Джедайская техника пустого инбокса или как доводить дела до конца,	https://sergeysichkar.ru/jedi-indox/
Менеджер и его время, или Кому достанется обезьяна Уильям Онкен-младший , Дональд Уосс 17 мая 2022,	https://big-i.ru/karera/upravlenie-vremenem/a10080/
Шаблоны на GraphicRiver.net,	https://guides.area17.com/design-techniques/
«Процессы» у Лебедева,	https://www.artlebedev.ru/everything/
«Советы» Бюро Горбунова,	https://bureau.ru/soviet/
«Гайдлайн AREA 17 для тех, кто создает дизайн с умом»,	https://guides.area17.com/design-techniques/
Как не облажаться с дизайномПятиминутный гид для недизайнеров,	https://tilda.education/articles-guide-for-non-designer
О чём должен помнить веб-дизайнер,	https://github.com/nicothin/web-design
Юрий Ветров об интерфейсах,	https://jvetrau.com/
Что почитать о продуктовом дизайне,	https://education.yandex.ru/journal/chto-pochitat-o-dizaine
